name,norad_cat_id,classification,int_designator,epoch_year,epoch_day,first_derivative_mean_motion,second_derivative_mean_motion,bstar_drag,ephemeris_type,element_set_number,inclination,raan,eccentricity,arg_of_perigee,mean_anomaly,mean_motion,rev_number,anomaly_label
TOMORROW-S7,63631,U,25081B,25,280.27741823,2.711e-05,0.0,24315000.0,0,999,45.392,207.9107,0.0002562,338.3835,21.6934,14.9831213,2522,0
SHENZHOU-20 (SZ-20),63632,U,25082A,25,280.0704291,0.00034714,0.0,40072000.0,0,999,41.4651,61.9569,0.0002579,203.9431,156.1288,15.61196142,23717,0
STARLINK-33879,63634,U,25083A,25,280.03675507,0.00027657,0.0,1010500.0,0,999,43.0025,153.3067,0.000149,256.6553,103.4133,15.27590761,2656,0
STARLINK-33854,63635,U,25083B,25,279.99435511,0.0004199,0.0,1525900.0,0,999,43.0,152.9886,0.0001894,270.5295,89.5339,15.27597924,2656,0
STARLINK-33864,63636,U,25083C,25,280.0406218,0.00029159,0.0,1065200.0,0,999,43.0017,153.3393,0.0001646,267.4538,92.6125,15.2757154,2659,0
STARLINK-33832,63637,U,25083D,25,280.05203019,0.00028906,0.0,1055300.0,0,999,43.0011,152.5614,0.0002163,253.8873,106.174,15.27596381,2657,0
STARLINK-33856,63638,U,25083E,25,280.06230605,0.00036693,0.0,1334800.0,0,999,43.0005,152.6284,0.0001785,275.2094,84.8554,15.27616547,2657,0
STARLINK-33876,63639,U,25083F,25,280.07772717,0.00037352,0.0,1358800.0,0,999,43.0002,152.7444,0.0001435,276.6627,83.4062,15.27607878,2657,0
STARLINK-33859,63640,U,25083G,25,280.03932044,0.00041048,0.0,1492800.0,0,999,43.0025,153.3347,0.0001521,268.1062,91.9615,15.27581924,2656,0
STARLINK-33826,63641,U,25083H,25,280.06487821,0.00023346,0.0,85451000.0,0,999,42.9998,152.6532,0.0003986302483604154,276.0701,83.9944,15.27606034,2657,1
STARLINK-33836,63642,U,25083J,25,280.03033012,0.00051821,0.0,1877600.0,0,999,43.0028,153.2597,0.0001799,259.8693,100.1955,15.27612132,2656,0
STARLINK-33558,63643,U,25083K,25,280.05588272,0.00037819,0.0,1375600.0,0,999,43.0009,152.5866,0.0002382,272.1487,87.9092,15.27606782,2657,0
STARLINK-33852,63644,U,25083L,25,280.02904798,0.00045847,0.0,1663800.0,0,999,43.0027,153.2487,0.0001532,266.1314,93.9363,15.27607872,2659,0
